Run	  ch	SER     SER_err	  width
9724	  0     49.28   0.17      17.40 
9725      0     49.10   0.16      17.30 
9726      0     48.61   0.16      17.30
9727      0     48.22   0.18      17.62
9728      0     47.97   0.21      18.10
9729	  0     47.45   0.21      18.39
10024	  0     45.71   0.15      17.41
10026	  0     45.25   0.17      17.33
10027	  0     45.55   0.17      17.10
10051	  0     45.06   0.16      17.51
10052	  0     44.03   0.19      17.86
10053	  0     42.43   0.22      18.15
10054     0     45.07   0.05      16.33
10093     0     44.81   0.07      16.06
10094     0     43.95   0.08      16.34
10095     0     43.95   0.08      16.34
10096     0     43.95   0.08      16.34
10097     0     43.95   0.08      16.34
10098     0     43.95   0.08      16.34
10099     0     43.95   0.08      16.34
10125	  0     43.67   0.21      17.03
10126	  0     43.56   0.21      16.40
10127	  0     42.96   0.27      17.07
10128	  0     41.67   0.36      17.87
10129	  0     42.75   0.27      17.21
10130	  0     42.94   0.30      17.20
10134	  0     44.90   0.16      16.60 
10137	  0     44.45   0.28      16.52
11277     0     65.66   0.22      24.02 
11278     0     66.08   0.09      23.28 
11280     0     67.02   0.20      22.94 
11281     0     64.93   0.09      23.71 
11282     0     64.61   0.13      23.75
11522     0     64.08   0.13      22.52
11523     0     63.14   0.12      22.56 
11524     0     64.53   0.13      22.89 
11525     0     63.50   0.20      22.32
11526     0     63.56   0.20      22.79
11527     0     62.32   0.16      22.6 
11528     0     63.19   0.17      22.22 
11529     0     62.29   0.15      22.23 
11530     0     62.70   0.10      22.17 
11531     0     63.38   0.11      22.45
11532     0     63.06   0.12      22.29
13564     0     62.18   0.13      22.98
13565     0     60.23   0.12      22.24
13566     0     59.19   0.12      22.17
13567     0     58.50   0.10      22.04
13568     0     58.87   0.14      22.18 
13569     0     58.73   0.12      22.03
13570     0     59.22   0.13      21.88 
13571     0     58.17   0.13      22.10
13575     0     59.21   0.14      22.02 
13576     0     58.53   0.14      21.78 
13577     0     59.38   0.14      22.05 
