Run	  ch	SER     SER_err	  width
9724	  1     51.25   0.41      21.65 
9725      1     51.56   0.43      22.65
9726      1     50.96   0.41      22.04
9727      1     52.12   0.41      22.48
9728      1     51.26   0.47      22.59
9729	  1     51.62   0.40      22.74
10024	  1     41.25   0.37      20.27
10026	  1     42.13   0.34      19.36 
10027	  1     41.75   0.38      19.23
10051	  1     44.46   0.33      20.86
10052	  1     46.07   0.29      20.61
10053	  1     45.77   0.25      19.90
10054     1     38.77   0.11      17.73
10093     1     37.30   0.10      16.88
10094     1     35.48   0.13      16.05
10095     1     35.48   0.13      16.05
10096     1     35.48   0.13      16.05
10097     1     35.48   0.13      16.05
10098     1     35.48   0.13      16.05
10099     1     35.48   0.13      16.05
10125	  1     44.15   0.38      20.10
10126	  1     43.80   0.42      20.23
10127	  1     41.98   0.57      22.21
10128	  1     44.75   0.46      20.86
10129	  1     45.28   0.43      20.25
10130	  1     43.14   0.56      20.65
10134	  1     44.00   0.40      20.33
10137	  1     44.24   0.60      20.28
11277     1     78.58   0.41      33.38
11278     1     71.37   0.20      32.02 
11280     1     74.55   0.36      32.09 
11281     1     68.53   0.20      31.27 
11282     1     71.48   0.28      32.56 
11522     1     73.33   0.30      31.36
11523     1     68.06   0.28      30.11 
11524     1     70.81   0.30      30.48
11525     1     66.27   0.28      29.79 
11526     1     69.82   0.32      31.22 
11527     1     65.88   0.27      28.88
11528     1     68.55   0.33      30.96
11529     1     65.73   0.28      29.20 
11530     1     69.01   0.16      29.73 
11531     1     65.28   0.22      28.98 
11532     1     67.44   0.27      30.40 
13564     1     73.64   0.24      33.05  
13565     1     67.09   0.19      31.11  
13566     1     69.87   0.23      33.11 
13567     1     66.22   0.25      31.00 
13568     1     69.53   0.28      32.55 
13569     1     65.96   0.26      30.63  
13570     1     68.18   0.29      32.52 
13571     1     65.11   0.26      30.17 
13575     1     69.95   0.29      32.37 
13576     1     69.19   0.28      31.03 
13577     1     70.65   0.30      32.46 
