channel,tv,lt,ltsigplus,ltsigminus
tolerance,,1.00E-05,1.00E-05,1.00E-05
0,8079,930.1667,97.9667,80.9212	
0,8125,740.6229,49.7874,43.8869	
0,8129,796.1620,50.1474,44.5370	
0,8144,770.0994,57.0049,49.6538	
0,8259,732.6136,45.1714,40.2126	
0,8279,808.2932,49.2883,43.9306	  
0,8288,751.4535,47.0748,41.8335	
0,8294,823.4035,50.5850,45.0498	
0,8299,936.3297,59.0898,52.4676	
0,8314,904.2274,57.5279,51.0342	
0,8320,888.6003,59.4364,52.4234	
0,8391,962.0104,65.2570,57.4613	
0,8397,1014.2001,67.5736,59.627
0,8408,1052.370,68.938,60.9523	
0,8421,1052.370,68.938,60.9523	
0,8426,1089.200,33.68,31.72	
0,8435,870.8400,27.51,25.88	
0,8442,930.5200,29.40,27.66	
0,8474,1295.900,52.82,48.84	
0,8504,1178.900,46.29,42.92	
0,8508,1268.046,110.311,93.9626	
0,8512,1454.400,59.81,55.27	
0,8518,1628.951,142.032,120.942	
0,8558,1632.800,101.1,89.97	
0,8563,1558.200,56.12,52.35	
0,8582,1643.100,57.91,54.10	
0,8591,1551.600,55.10,51.44	
0,8597,1522.900,53.40,49.90	
0,8602,1564.600,55.67,51.97	
0,8607,1654.400,58.08,54.27	
0,8617,1613.200,68.51,63.14	
0,8631,1672.300,67.96,62.85	
0,8640,1663.800,68.04,62.89	
0,8654,1741.100,59.57,55.75	
0,8672,1660.800,54.73,51.35	
0,8679,1805.800,61.28,57.38	
0,8684,1917.700,67.32,62.90	
0,8688,1781.200,57.50,54.02	
0,8702,1804.400,59.16,55.52	
0,8724,1642.400,53.56,50.28	
0,8739,1643.7653,99.4138,88.6864
0,8743,1630.68989,9.3662,88.5719
0,8757,1735.3313,91.4651,82.7428
0,8777,1653.440,100.039,89.2403	
0,8800,1359.3300,92.215,81.1983	
0,8876,1395.7300,95.2799,83.8339
0,8906,1413.030,85.3007,76.1114	
0,8920,1399.500,46.19,43.33	
0,8938,1400.240,83.9283,74.9442	
0,8974,1220.640,73.8385,65.8694	
0,8994,1097.640,64.9175,58.0509	
0,9011,1078.360,63.5823,56.8753	
0,9031,775.2180,46.2245,41.2993	
0,9061,891.3240,52.291,46.7998	
0,9074,741.5500,22.30,21.04	
0,9085,612.9480,35.7094,31.9828	
0,9090,517.2500,30.1368,26.9916	
0,9097,441.6030,25.5252,22.8802	
0,9102,377.0880,21.6616,19.4294	
0,9105,338.9620,19.1764,17.2272	
0,9115,320.0620,18.0702,16.2368	
0,9119,317.1000,9.057,8.567	
0,9125,307.7060,17.348,15.5901	
0,9136,288.9460,16.3577,14.694	
0,9155,273.5720,15.4688,13.8972	
0,9164,260.7290,14.8766,13.3529	
0,9176,248.0180,14.1864,12.7301	
0,9181,223.5530,12.7714,11.4618	
0,9204,196.3700,5.996,5.651	
0,9209,165.6700,6.375,5.920	
0,9215,136.9000,7.667,6.895	
0,9223,116.2500,8.530,7.439	
0,9236,107.5000,7.661,6.706	
0,9280,738.6000,23.46,22.06	
0,9293,707.8100,21.22,20.07	
0,9309,542.3100,16.30,15.37	
0,9312,516.8400,15.42,14.55	
0,9330,473.7800,14.21,13.41	
0,9335,369.6900,10.67,10.08 	
0,9339,360.7650,20.5286,18.431	
0,9344,373.8900,10.75,10.16	
0,9348,407.9540,23.5624,21.1224	
0,9365,434.9250,25.3483,22.702	
0,9378,441.8000,13.01,12.29	
0,9391,507.0080,29.6,26.5052	
0,9402,537.7160,31.9287,28.5395	
0,9407,558.3080,32.5356,29.1394	
0,9433,567.5100,16.66,15.74	
0,9448,760.7360,40.8872,6.9187	
0,9452,726.0290,39.9814,36.0148	
0,9474,741.5770,43.4585,38.8993	
0,9481,757.7800,22.84,21.54	
0,9487,842.9310,49.6708,44.4341	
0,9493,873.6520,56.2986,49.8711	
0,9500,828.3790,52.6539,46.7153	
0,9509,882.4870,52.1412,46.6309	
0,9515,886.6370,53.1306,47.4445	
0,9536,921.1640,56.4322,50.2726	
0,9544,922.3130,57.1151,50.8208	
0,9553,835.1800,26.38,24.82
0,9564,876.0,28.0,28.0
0,9635,854.0,30.0,30.0
0,9661,649.0,20.0,20.0
0,9669,539.0,11.0,11.0
0,9679,407.8,5.8,5.8
0,9693,392.0,22.0,22.0
0,9762,239.84,7.092,6.696
0,9780,201.54,5.725,5.417
0,9793,164.85,6.440,5.973
0,9794,152.34,5.848,5.431
0,9797,131.23,7.626,6.832
0,9801,123.58,8.993,7.851
0,9805,114.24,6.661,5.966
0,9808,107.24,7.903,6.888
0,9815,100.42,7.548,6.561
0,9818,93.636,9.529,7.918
0,9859,110.83,16.39,12.65
0,9865,113.97,6.463,5.805
0,9899,137.68,6.334,5.800
0,9904,150.81,8.594,7.715
0,9908,169.78,4.889,4.622
0,9917,198.95,6.014,5.671
0,9920,217.27,6.084,5.762
0,9925,257.52,14.67,13.17
0,9933,296.88,16.92,15.19
0,9942,327.72,18.78,16.85
0,9954,369.50,21.37,19.15
0,9961,404.53,23.70,21.22
0,9972,455.44,26.53,23.76
0,9976,523.35,30.89,27.63
0,10142,726.17,64.83,55.01 
0,10157,871.92,51.36,45.95 
0,10161,1003.35,59.35,53.07           
0,10166,1122.68,67.50,60.26
0,10176,1398.15,95.19,83.78
0,10194,1100.2,64.81,58.00 
0,10200,1162.79,68.83,61.55
0,10205,1199.31,71.63,63.99
0,10207,1312.82,83.48,74.06
0,10217,1398.51,86.71,77.14
0,10232,1461.81,91.91,81.64
